,month,day,hour,ws
779,7,3,11,3.2
780,7,3,12,2.9
781,7,3,13,1.5
782,7,3,14,3.7
783,7,3,15,4.2
784,7,3,16,4.5
785,7,3,17,3.5
786,7,3,18,5.0
787,7,3,19,3.3
788,7,3,20,4.3
789,7,3,21,2.5
790,7,3,22,3.6
791,7,3,23,3.9
792,7,4,0,4.5
793,7,4,1,3.5
794,7,4,2,2.5
795,7,4,3,4.0
796,7,4,4,2.8
797,7,4,5,3.9
798,7,4,6,4.2
799,7,4,7,4.2
800,7,4,8,4.7
801,7,4,9,4.6
802,7,4,10,3.4
803,7,4,11,3.7
804,7,4,12,2.7
805,7,4,13,3.3
806,7,4,14,1.9
807,7,4,15,2.0
808,7,4,16,2.2
809,7,4,17,2.5
810,7,4,18,1.5
811,7,4,19,2.0
812,7,4,20,2.5
813,7,4,21,1.8
814,7,4,22,1.9
815,7,4,23,1.9
816,7,5,0,2.2
817,7,5,1,2.9
818,7,5,2,3.9
819,7,5,3,2.5
820,7,5,4,2.2
821,7,5,5,2.1
822,7,5,6,2.0
823,7,5,7,3.8
824,7,5,8,2.8
825,7,5,9,5.6
826,7,5,10,2.1
827,7,5,11,2.3
828,7,5,12,2.1
829,7,5,13,1.3
830,7,5,14,2.8
831,7,5,15,2.4
832,7,5,16,1.9
833,7,5,17,2.4
834,7,5,18,2.3
835,7,5,19,1.3
836,7,5,20,1.9
837,7,5,21,1.4
838,7,5,22,2.0
839,7,5,23,1.6
840,7,6,0,1.7
841,7,6,1,2.0
842,7,6,2,1.7
843,7,6,3,2.3
844,7,6,4,2.6
845,7,6,5,2.6
846,7,6,6,3.4
847,7,6,7,1.9
848,7,6,8,3.5
849,7,6,9,3.4
850,7,6,10,3.9
851,7,6,11,3.8
852,7,6,12,4.2
853,7,6,13,2.8
854,7,6,14,2.2
855,7,6,15,4.5
856,7,6,16,3.0
857,7,6,17,2.0
858,7,6,18,1.6
859,7,6,19,1.6
860,7,6,20,2.7
861,7,6,21,2.5
862,7,6,22,1.7
863,7,6,23,2.3
864,7,7,0,3.4
865,7,7,1,2.4
866,7,7,2,2.5
867,7,7,3,2.7
868,7,7,4,2.0
869,7,7,5,3.9
870,7,7,6,2.8
871,7,7,7,2.5
872,7,7,8,2.6
873,7,7,9,2.7
874,7,7,10,3.6
875,7,7,11,3.2
876,7,7,12,2.6
877,7,7,13,2.2
878,7,7,14,3.6
879,7,7,15,2.4
880,7,7,16,2.1
881,7,7,17,2.5
882,7,7,18,3.8
883,7,7,19,2.9
884,7,7,20,3.1
885,7,7,21,3.5
886,7,7,22,3.0
887,7,7,23,2.7
888,7,8,0,2.9
889,7,8,1,3.0
890,7,8,2,2.8
891,7,8,3,2.7
892,7,8,4,2.0
893,7,8,5,2.0
894,7,8,6,0.8
895,7,8,7,1.5
896,7,8,8,0.9
897,7,8,9,0.0
898,7,8,10,2.3
899,7,8,11,2.1
900,7,8,12,4.1
901,7,8,13,3.3
902,7,8,14,2.9
903,7,8,15,3.5
904,7,8,16,3.1
905,7,8,17,2.2
906,7,8,18,3.1
907,7,8,19,3.6
908,7,8,20,2.5
909,7,8,21,2.6
910,7,8,22,2.8
911,7,8,23,3.3
912,7,9,0,2.9
913,7,9,1,2.7
914,7,9,2,2.5
915,7,9,3,2.6
916,7,9,4,3.3
917,7,9,5,1.9
918,7,9,6,2.9
919,7,9,7,2.9
920,7,9,8,0.6
921,7,9,9,1.6
922,7,9,10,0.7
923,7,9,11,3.0
924,7,9,12,2.1
925,7,9,13,2.5
926,7,9,14,2.5
927,7,9,15,2.9
928,7,9,16,4.5
929,7,9,17,2.7
930,7,9,18,2.7
931,7,9,19,2.4
932,7,9,20,2.5
933,7,9,21,3.2
934,7,9,22,2.7
935,7,9,23,2.1
936,7,10,0,2.8
937,7,10,1,2.3
938,7,10,2,3.2
939,7,10,3,2.1
940,7,10,4,1.7
941,7,10,5,2.0
942,7,10,6,3.0
943,7,10,7,3.2
944,7,10,8,4.0
945,7,10,9,5.1
946,7,10,10,3.3
947,7,10,11,3.9
948,7,10,12,3.2
949,7,10,13,5.1
950,7,10,14,4.6
951,7,10,15,3.0
952,7,10,16,2.2
953,7,10,17,1.8
954,7,10,18,3.3
955,7,10,19,4.0
956,7,10,20,3.6
957,7,10,21,3.7
958,7,10,22,4.1
959,7,10,23,2.2
960,7,11,0,2.0
961,7,11,1,3.9
962,7,11,2,2.6
963,7,11,3,3.5
964,7,11,4,4.2
965,7,11,5,3.5
966,7,11,6,2.7
967,7,11,7,2.3
968,7,11,8,3.5
969,7,11,9,4.4
970,7,11,10,3.0
971,7,11,11,4.3
