,month,day,hour,precp
761,7,2,17,0.05
762,7,2,18,0.05
763,7,2,19,0.5
764,7,2,20,1.0
765,7,2,21,8.5
766,7,2,22,7.0
767,7,2,23,0.0
768,7,3,0,2.5
769,7,3,1,3.0
770,7,3,2,0.0
771,7,3,3,4.5
772,7,3,4,3.5
773,7,3,5,1.0
774,7,3,6,27.5
775,7,3,7,33.0
776,7,3,8,6.5
777,7,3,9,10.5
778,7,3,10,0.05
779,7,3,11,1.0
780,7,3,12,0.0
781,7,3,13,2.0
782,7,3,14,18.0
783,7,3,15,3.5
784,7,3,16,1.5
785,7,3,17,5.5
786,7,3,18,3.0
787,7,3,19,2.0
788,7,3,20,1.0
789,7,3,21,0.05
790,7,3,22,0.0
791,7,3,23,0.0
792,7,4,0,0.0
793,7,4,1,0.0
794,7,4,2,0.0
795,7,4,3,0.0
796,7,4,4,0.5
797,7,4,5,0.05
798,7,4,6,0.0
799,7,4,7,0.0
800,7,4,8,0.0
801,7,4,9,0.0
802,7,4,10,0.5
803,7,4,11,0.05
804,7,4,12,0.0
805,7,4,13,0.0
806,7,4,14,9.0
807,7,4,15,1.0
808,7,4,16,0.0
809,7,4,17,0.0
810,7,4,18,0.0
811,7,4,19,0.0
812,7,4,20,0.0
813,7,4,21,0.0
814,7,4,22,0.0
815,7,4,23,0.0
816,7,5,0,0.0
817,7,5,1,0.0
818,7,5,2,1.5
819,7,5,3,4.5
820,7,5,4,17.5
821,7,5,5,0.05
822,7,5,6,0.5
823,7,5,7,0.05
824,7,5,8,0.0
825,7,5,9,15.5
826,7,5,10,5.0
827,7,5,11,0.0
828,7,5,12,0.0
829,7,5,13,0.0
830,7,5,14,0.0
831,7,5,15,0.0
832,7,5,16,0.0
833,7,5,17,0.0
834,7,5,18,0.0
835,7,5,19,0.0
836,7,5,20,0.0
837,7,5,21,0.0
838,7,5,22,0.0
839,7,5,23,0.0
840,7,6,0,0.0
841,7,6,1,0.0
842,7,6,2,0.0
843,7,6,3,0.0
844,7,6,4,0.0
845,7,6,5,0.0
846,7,6,6,0.05
847,7,6,7,0.05
848,7,6,8,0.0
849,7,6,9,0.0
850,7,6,10,0.0
851,7,6,11,0.5
852,7,6,12,0.0
853,7,6,13,0.0
854,7,6,14,3.5
855,7,6,15,0.05
856,7,6,16,0.0
857,7,6,17,0.0
858,7,6,18,2.0
859,7,6,19,0.0
860,7,6,20,0.0
861,7,6,21,0.0
862,7,6,22,0.0
863,7,6,23,0.0
864,7,7,0,0.0
865,7,7,1,0.0
866,7,7,2,0.0
867,7,7,3,0.0
868,7,7,4,0.0
869,7,7,5,0.0
870,7,7,6,0.5
871,7,7,7,1.5
872,7,7,8,0.5
873,7,7,9,0.0
874,7,7,10,0.0
875,7,7,11,0.0
876,7,7,12,0.5
877,7,7,13,0.0
878,7,7,14,0.0
879,7,7,15,0.0
880,7,7,16,1.0
881,7,7,17,0.05
882,7,7,18,0.05
883,7,7,19,0.0
884,7,7,20,0.0
885,7,7,21,0.0
886,7,7,22,0.0
887,7,7,23,0.0
888,7,8,0,0.0
889,7,8,1,2.0
890,7,8,2,0.0
891,7,8,3,0.0
892,7,8,4,0.0
893,7,8,5,0.0
894,7,8,6,5.5
895,7,8,7,0.5
896,7,8,8,0.5
897,7,8,9,2.0
898,7,8,10,0.0
899,7,8,11,0.0
900,7,8,12,0.0
901,7,8,13,0.0
902,7,8,14,1.0
903,7,8,15,0.0
904,7,8,16,0.0
905,7,8,17,0.0
906,7,8,18,0.0
907,7,8,19,0.0
908,7,8,20,0.0
909,7,8,21,0.0
910,7,8,22,0.0
911,7,8,23,0.0
912,7,9,0,0.0
913,7,9,1,0.0
914,7,9,2,0.0
915,7,9,3,0.0
916,7,9,4,0.0
917,7,9,5,0.05
918,7,9,6,20.0
919,7,9,7,3.5
920,7,9,8,6.0
921,7,9,9,6.0
922,7,9,10,18.0
923,7,9,11,0.05
924,7,9,12,3.5
925,7,9,13,0.0
926,7,9,14,0.0
927,7,9,15,0.5
928,7,9,16,0.5
